Tag_Number,Species_Co,Latin_Name,Species_1,Buil_Vinta,Azimuth,Dist_to_Bu,Sun
1142,PYCA,Pyrus calleryana,Callery Pear,1950-1980,90,15,Sun
1143,CRDO,Crataegus douglasii,Black Hawthorne,1950-1980,90,4,Partial
1144,CRDO,Crataegus douglasii,Black Hawthorne,1950-1980,90,4,Partial
1145,CRDO,Crataegus douglasii,Black Hawthorne,1950-1980,90,4,Partial
1147,CRDO,Crataegus douglasii,Black Hawthorne,1950-1980,90,4,Partial
342,MOAL,Morus alba,White Mulberry,Before 1950,360,4,Partial
1149,ACPL,Acer platanoides,Norway Maple,1950-1980,180,10,Sun
1151,GIBI,Ginkgo biloba,Ginkgo,1950-1980,180,10,Sun
1152,GIBI,Ginkgo biloba,Ginkgo,1950-1980,270,10,Sun
388,QURU,Quercus rubra,Northern Red Oak,Before 1950,90,15,Partial
1173,ACPL,Acer platanoides,Norway Maple,,270,21,Partial
1172,ACPL,Acer platanoides,Norway Maple,,270,21,Partial
1104,SYRE,Syringa reticulata,Japanese Lilac,1950-1980,180,4,Partial
1105,SYRE,Syringa reticulata,Japanese Lilac,1950-1980,180,4,Shade
1106,SYRE,Syringa reticulata,Japanese Lilac,1950-1980,180,4,Partial
1107,SYRE,Syringa reticulata,Japanese Lilac,1950-1980,180,4,Partial
1115,PINI,Pinus nigra,Austrian Pine,1950-1980,90,10,Partial
1120,PINI,Pinus nigra,Austrian Pine,Before 1950,270,4,Partial
1121,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,270,4,Partial
1122,ULAM,Ulmus americana,American Elm,Before 1950,360,10,Partial
1123,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,360,10,Partial
1125,ULAM,Ulmus americana,American Elm,Before 1950,360,4,Partial
1119,ULAM,Ulmus americana,American Elm,Before 1950,270,4,Partial
1118,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,270,4,Partial
1117,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,270,4,Partial
1124,ACPL,Acer platanoides,Norway Maple,Before 1950,360,4,Partial
1224,GLTR,Gleditsia triacanthos,Honeylocust,Before 1950,270,4,Shade
1190,PYCA,Pyrus calleryana,Callery Pear,Before 1950,270,15,Partial
523,QUAL,Quercus alba,White Oak,,360,21,Partial
546,ACSA3,Acer saccharum,Sugar Maple,,360,21,Partial
1196,FASY,Fagus sylvatica,European Beech,Before 1950,90,4,Sun
1219,QUAL,Quercus alba,White Oak,Before 1950,90,21,Sun
1218,PIST,Pinus strobus,Eastern White Pine,Before 1950,90,21,Partial
1217,PIST,Pinus strobus,Eastern White Pine,Before 1950,360,15,Partial
1225,ACRU,Acer rubrum,Red Maple,Before 1950,360,10,Sun
589,QURU,Quercus rubra,Red Oak,1950-1980,270,15,Partial
1228,ACSA7,Acer saccharum,Sugar Maple,,90,21,Partial
1229,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
1232,GLTR,Gleditsia triacanthos,Honeylocust,,90,21,Partial
1230,GLTR,Gleditsia triacanthos,Honeylocust,,90,21,Partial
1231,GLTR,Gleditsia triacanthos,Honeylocust,,90,21,Partial
607,QUAL,Quercus alba,White Oak,1950-1980,270,15,Partial
610,ACPL,Acer platanoides,Norway Maple,1950-1980,270,15,Partial
608,QUAL,Quercus alba,White Oak,1950-1980,270,15,Partial
609,QUAL,Quercus alba,White Oak,1950-1980,270,15,Partial
612,PINI,Pinus nigra,Austrian Pine,Before 1950,90,15,Partial
615,MA3,Malus spp.,Crab Apple,Before 1950,90,10,Partial
616,CRDO,Crataegus douglasii,Black Hawthorn,Before 1950,90,4,Partial
617,,,,,,,
631,QUAL,Quercus alba,White Oak,1950-1980,270,15,Partial
630,QUAL,Quercus alba,White Oak,Before 1950,90,15,Partial
629,QUAL,Quercus alba,White Oak,Before 1950,90,15,Partial
628,QUAL,Quercus alba,White Oak,Before 1950,90,15,Partial
626,QUAL,Quercus alba,White Oak,Before 1950,90,15,Partial
625,PIST,Pinus strobus,Eastern White Pine,Before 1950,90,15,Partial
624,PIST,Pinus strobus,Eastern White Pine,Before 1950,90,15,Partial
618,THOC,Thuja occidentalis,Northern White Cedar,Before 1950,90,4,Partial
619,PYCA,Pyrus calleryana,Callery Pear,1950-1980,270,4,Sun
621,QUAL,Quercus alba,White Oak,1950-1980,360,15,Partial
622,QUAL,Quercus alba,White Oak,1950-1980,360,15,Partial
623,QUAL,Quercus alba,White Oak,,360,21,Partial
627,QUAL,Quercus alba,White Oak,Before 1950,90,15,Partial
634,QURU,Quercus rubra,Red Oak,,90,21,Partial
635,QURU,Quercus rubra,Red Oak,,90,21,Partial
636,QUAL,Quercus alba,White Oak,,90,21,Partial
633,QURU,Quercus rubra,Red Oak,,270,21,Partial
632,LITU,Liriodendron tulipifera,Tuliptree,1950-1980,270,15,Partial
637,QUAL,Quercus alba,White Oak,1950-1980,270,15,Partial
639,QUAL,Quercus alba,White Oak,1950-1980,270,15,Partial
640,QUAL,Quercus alba,White Oak,1950-1980,270,15,Partial
641,CAOV,Carya ovata,Shagbark Hickory,1950-1980,180,10,Partial
642,PRSU,Prunus subhirtella,Weeping Cherry,1950-1980,180,10,Partial
643,MA4,Malus spp.,Crab Apple,1950-1980,180,4,Partial
650,QURU,Quercus rubra,Red Oak,Before 1950,360,10,Partial
644,COKO,Cornus kousa,Kousa Dogwood,1950-1980,180,15,Shade
645,QURU,Quercus rubra,Red Oak,1950-1980,180,15,Partial
648,QUAL,Quercus alba,White Oak,Before 1950,360,10,Partial
647,PSME,Pseudotsuga menziesii,Douglas-fir,Before 1950,360,10,Partial
646,QUAL,Quercus alba,White Oak,Before 1950,180,15,Partial
651,MA5,Malus spp.,Crab Apple,Before 1950,270,4,Partial
688,MA12,Malus spp.,Crab Apple,Before 1950,270,4,Partial
673,MOAL,Morus alba,White Mulberry,1950-1980,360,10,Partial
689,MEGL,Metasequoia glyptostroboides,Dawn Redwood,Before 1950,270,15,Partial
687,QURU,Quercus rubra,Red Oak,,270,21,Partial
686,QURU,Quercus rubra,Red Oak,1950-1980,360,10,Partial
