Tag_Number,Species_Co,Latin_Name,Species_1,Buil_Vinta,Azimuth,Dist_to_Bu,Sun
533,PIST,Pinus strobus,Eastern White Pine,,360,21,Shade
530,PIST,Pinus strobus,Eastern White Pine,,360,21,Shade
583,QUAL,Quercus alba,White Oak,,360,21,Partial
590,QUAL,Quercus alba,White Oak,,270,21,Partial
597,CAOV,Carya ovata,Shagbark Hickory,,360,21,Partial
598,QUAL,Quercus alba,White Oak,,360,21,Partial
599,CAOV,Carya ovata,Shagbark Hickory,,360,21,Partial
582,PSME,Pseudotsuga menziesii,Douglas-fir,,360,21,Partial
600,QUAL,Quercus alba,White Oak,,360,21,Partial
602,QUAL,Quercus alba,White Oak,,360,21,Partial
581,QURU,Quercus rubra,Red Oak,Before 1950,360,15,Partial
614,QUAL,Quercus alba,White Oak,Before 1950,360,15,Partial
